Metric,AUC-ROC,AUC-PR,p-value
Clarity,0.5007,0.5332,-
n(σ%),0.5454,0.5643,-
NQC,0.5348,0.5540,-
AvgICTF,0.5433,0.5742,-
AvgIDF,0.5505,0.5815,-
MaxIDF,0.5374,0.5745,-
MaxSCQ,0.5409,0.5737,-
Simplified Clarity,0.5374,0.5703,-
RoBERTa,0.7179,0.7320,-
SMV,0.5368,0.5570,-
WIG,0.5535,0.5766,-
L1 Logistic Regression,0.7151,0.7271,0.2818
L2 Logistic Regression,0.7145,0.7249,0.2215
E-Net,0.7148,0.7258,0.2458
No Penalty Logistic Regression,0.7158,0.7273,0.4919
BOLASSO,0.7151,0.7271,0.2818
LARS-Traps,0.7145,0.7249,0.2215
LARS-CV,0.7145,0.7250,0.2259
Random Forest,0.6445,0.6626,1.81e-12
