Metric,AUC-ROC,AUC-PR,p-value
BERT,0.6987,0.7145,-
Clarity,0.5007,0.5332,-
n(σ%),0.5454,0.5643,-
NQC,0.5348,0.5540,-
AvgICTF,0.5433,0.5742,-
AvgIDF,0.5505,0.5815,-
MaxIDF,0.5374,0.5745,-
MaxSCQ,0.5409,0.5737,-
Simplified Clarity,0.5374,0.5703,-
SMV,0.5368,0.5570,-
WIG,0.5535,0.5766,-
L1 Logistic Regression,0.6925,0.7030,0.2820
L2 Logistic Regression,0.6881,0.6958,0.0727
E-Net,0.6912,0.7035,0.2378
No Penalty Logistic Regression,0.6909,0.7035,0.2252
BOLASSO,0.6925,0.7030,0.2820
LARS-Traps,0.6881,0.6958,0.0727
LARS-CV,0.6881,0.6956,0.0726
Random Forest,0.6158,0.6279,7.55e-11
